42
2 10
0 1 ohniva
0 1 ledova
0 1 ohniva
0 1 ohniva
0 1 ledova
0 1 ohniva
0 1 ledova
0 1 ohniva
0 1 ledova
0 1 ledova
30 75
1 0 ledova
1 28 ledova
27 2 ledova
10 14 ledova
24 28 ohniva
19 18 ohniva
26 25 ledova
11 17 ohniva
23 2 ohniva
2 21 ohniva
7 24 ledova
4 23 ohniva
6 19 ledova
29 17 ohniva
27 15 ledova
0 19 ohniva
3 24 ledova
13 5 ledova
3 10 ledova
18 29 ohniva
17 24 ledova
24 8 ohniva
12 20 ledova
4 29 ohniva
18 12 ohniva
1 12 ohniva
5 10 ledova
11 3 ohniva
27 25 ohniva
14 28 ohniva
20 13 ledova
2 9 ledova
1 10 ohniva
6 28 ledova
2 16 ohniva
5 22 ohniva
20 0 ohniva
23 14 ledova
13 24 ohniva
17 15 ledova
0 8 ledova
27 29 ledova
5 11 ledova
26 10 ledova
18 23 ohniva
19 14 ohniva
16 1 ohniva
25 19 ohniva
17 12 ledova
17 3 ohniva
8 13 ohniva
17 3 ohniva
5 10 ledova
8 20 ohniva
18 4 ohniva
21 16 ledova
9 7 ledova
20 18 ohniva
25 27 ledova
19 0 ledova
26 18 ledova
11 3 ledova
0 21 ledova
6 10 ohniva
23 11 ledova
14 11 ledova
3 13 ohniva
25 23 ohniva
27 11 ohniva
13 23 ledova
0 10 ledova
6 21 ledova
29 10 ohniva
20 0 ledova
10 9 ledova
48 76
38 0 ledova
20 30 ledova
7 28 ledova
43 30 ledova
32 5 ohniva
6 34 ledova
9 17 ledova
7 33 ohniva
23 36 ledova
28 29 ohniva
19 37 ohniva
5 17 ledova
43 2 ohniva
45 13 ohniva
19 16 ohniva
40 5 ohniva
2 47 ledova
20 31 ledova
18 27 ohniva
24 34 ohniva
2 12 ohniva
11 4 ohniva
25 9 ohniva
5 38 ledova
8 3 ledova
34 8 ledova
7 28 ohniva
8 39 ohniva
10 16 ledova
1 9 ledova
29 40 ledova
24 27 ledova
1 24 ledova
32 11 ohniva
19 10 ohniva
30 23 ohniva
43 16 ohniva
20 40 ohniva
39 43 ohniva
31 45 ledova
