42
4 3
1 2 ohniva
0 1 ledova
1 3 ledova
71 138
56 17 ledova
62 9 ohniva
16 24 ledova
43 26 ledova
31 29 ledova
63 60 ledova
17 43 ohniva
3 33 ohniva
53 63 ohniva
16 26 ledova
16 67 ledova
9 40 ledova
36 31 ohniva
7 10 ledova
27 48 ledova
11 38 ohniva
60 34 ledova
60 62 ohniva
37 0 ohniva
15 8 ohniva
19 70 ledova
53 3 ohniva
70 49 ohniva
11 31 ledova
55 70 ledova
19 26 ohniva
35 42 ledova
25 29 ohniva
1 9 ledova
32 48 ohniva
20 70 ohniva
16 39 ohniva
52 53 ohniva
14 29 ledova
66 43 ledova
35 27 ohniva
67 65 ledova
18 51 ledova
61 33 ohniva
12 33 ledova
49 63 ledova
18 1 ledova
45 60 ledova
6 59 ohniva
67 5 ledova
8 41 ledova
4 3 ledova
38 70 ledova
57 13 ohniva
24 54 ohniva
64 46 ledova
19 68 ohniva
32 10 ohniva
56 4 ledova
47 56 ledova
57 32 ohniva
40 57 ledova
12 39 ledova
55 4 ohniva
34 55 ledova
42 32 ohniva
0 10 ohniva
7 48 ohniva
11 39 ledova
16 42 ledova
47 10 ledova
0 40 ohniva
24 50 ohniva
48 69 ledova
56 18 ledova
47 44 ohniva
38 26 ledova
36 21 ledova
28 41 ohniva
26 51 ohniva
67 63 ledova
3 20 ledova
66 23 ledova
56 30 ohniva
37 51 ohniva
31 30 ohniva
53 15 ohniva
67 41 ohniva
34 16 ledova
1 70 ohniva
5 9 ledova
41 65 ledova
69 34 ledova
42 7 ledova
10 70 ohniva
60 38 ohniva
44 12 ohniva
63 65 ohniva
61 19 ohniva
11 55 ohniva
59 55 ledova
36 12 ledova
42 23 ohniva
59 31 ledova
50 20 ledova
3 1 ohniva
59 48 ohniva
14 62 ohniva
43 14 ohniva
55 31 ohniva
49 65 ledova
8 55 ledova
31 65 ledova
51 15 ledova
16 66 ohniva
1 44 ledova
42 58 ohniva
63 69 ledova
8 7 ohniva
14 12 ledova
24 62 ohniva
30 55 ledova
67 62 ohniva
9 36 ledova
1 15 ohniva
40 28 ohniva
62 53 ledova
48 38 ledova
32 57 ledova
52 31 ledova
68 24 ledova
37 24 ledova
43 5 ohniva
54 38 ledova
16 22 ledova
60 29 ledova
26 22 ohniva
30 59 ohniva
9 34 ledova
31 37 ledova
55 15 ledova
19 27 ledova
24 47 ohniva
31 72
14 21 ohniva
0 13 ohniva
27 20 ledova
20 10 ledova
1 22 ohniva
11 10 ledova
1 23 ohniva
25 19 ledova
18 19 ohniva
10 15 ohniva
20 4 ohniva
15 20 ledova
19 16 ohniva
27 24 ledova
30 19 ledova
28 29 ledova
26 0 ohniva
9 24 ohniva
15 16 ledova
19 30 ohniva
12 0 ohniva
18 3 ohniva
15 22 ohniva
26 11 ohniva
5 14 ohniva
18 12 ledova
5 12 ohniva
15 23 ledova
10 23 ohniva
5 19 ohniva
19 18 ohniva
28 6 ledova
3 23 ledova
12 24 ledova
9 0 ledova
2 7 ledova
22 0 ohniva
15 19 ohniva
23 2 ohniva
9 29 ledova
28 27 ohniva
3 26 ohniva
27 29 ledova
17 27 ohniva
